date and time,water level (m)
2016-01-01 00:00:00,             10
2016-01-01 00:20:00,      -0.601948
2016-01-01 00:40:00,      -0.176196
2016-01-01 01:00:00,     -0.0991513
2016-01-01 01:20:00,      -0.279975
2016-01-01 01:40:00,      0.0260213
2016-01-01 02:00:00,     -0.0922764
2016-01-01 02:20:00,       0.164157
2016-01-01 02:40:00,       0.267885
2016-01-01 03:00:00,       0.264141
2016-01-01 03:20:00,       0.406557
2016-01-01 03:40:00,        0.29259
2016-01-01 04:00:00,       0.154318
2016-01-01 04:20:00,       0.148086
2016-01-01 04:40:00,       0.182256
2016-01-01 05:00:00,       0.308195
2016-01-01 05:20:00,       0.481702
2016-01-01 05:40:00,       0.534583
2016-01-01 06:00:00,       0.563575
2016-01-01 06:20:00,       0.483113
2016-01-01 06:40:00,       0.467779
2016-01-01 07:00:00,       0.482912
2016-01-01 07:20:00,       0.355048
2016-01-01 07:40:00,       0.264394
2016-01-01 08:00:00,       0.114734
2016-01-01 08:20:00,     -0.0624479
2016-01-01 08:40:00,      -0.121998
2016-01-01 09:00:00,      -0.177164
2016-01-01 09:20:00,      -0.174146
2016-01-01 09:40:00,      -0.160348
2016-01-01 10:00:00,      -0.213182
2016-01-01 10:20:00,      -0.222605
2016-01-01 10:40:00,      -0.311222
2016-01-01 11:00:00,      -0.358191
2016-01-01 11:20:00,      -0.354881
2016-01-01 11:40:00,      -0.378514
2016-01-01 12:00:00,      -0.348868
2016-01-01 12:20:00,      -0.371038
2016-01-01 12:40:00,      -0.373918
2016-01-01 13:00:00,      -0.364145
2016-01-01 13:20:00,      -0.395472
2016-01-01 13:40:00,      -0.339079
2016-01-01 14:00:00,      -0.283258
2016-01-01 14:20:00,      -0.202607
2016-01-01 14:40:00,     -0.0843868
2016-01-01 15:00:00,     -0.0120309
2016-01-01 15:20:00,      0.0852574
2016-01-01 15:40:00,       0.149887
2016-01-01 16:00:00,       0.200603
2016-01-01 16:20:00,       0.294419
2016-01-01 16:40:00,        0.33737
2016-01-01 17:00:00,       0.374145
2016-01-01 17:20:00,       0.395258
2016-01-01 17:40:00,       0.362148
2016-01-01 18:00:00,       0.355666
2016-01-01 18:20:00,       0.345981
2016-01-01 18:40:00,       0.339427
2016-01-01 19:00:00,       0.357784
2016-01-01 19:20:00,       0.332669
2016-01-01 19:40:00,       0.303363
2016-01-01 20:00:00,       0.263262
2016-01-01 20:20:00,       0.190736
2016-01-01 20:40:00,       0.145175
2016-01-01 21:00:00,      0.0770998
2016-01-01 21:20:00,   -0.000563271
2016-01-01 21:40:00,     -0.0615358
2016-01-01 22:00:00,      -0.150205
2016-01-01 22:20:00,       -0.21214
2016-01-01 22:40:00,      -0.265317
2016-01-01 23:00:00,      -0.315302
2016-01-01 23:20:00,      -0.328145
2016-01-01 23:40:00,      -0.354422
2016-01-02 00:00:00,       -0.35873
2016-01-02 00:20:00,      -0.355505
2016-01-02 00:40:00,      -0.360575
2016-01-02 01:00:00,      -0.334752
2016-01-02 01:20:00,      -0.318724
2016-01-02 01:40:00,      -0.283553
2016-01-02 02:00:00,      -0.237362
2016-01-02 02:20:00,       -0.20347
2016-01-02 02:40:00,      -0.147724
2016-01-02 03:00:00,      -0.106532
2016-01-02 03:20:00,      -0.059108
2016-01-02 03:40:00,     0.00167511
2016-01-02 04:00:00,      0.0494158
2016-01-02 04:20:00,       0.116351
2016-01-02 04:40:00,       0.173277
2016-01-02 05:00:00,       0.219248
2016-01-02 05:20:00,       0.271474
2016-01-02 05:40:00,       0.298141
2016-01-02 06:00:00,        0.32503
2016-01-02 06:20:00,       0.345707
2016-01-02 06:40:00,       0.341855
2016-01-02 07:00:00,        0.34134
2016-01-02 07:20:00,       0.320932
2016-01-02 07:40:00,       0.289237
2016-01-02 08:00:00,       0.264818
2016-01-02 08:20:00,        0.22281
2016-01-02 08:40:00,       0.186304
2016-01-02 09:00:00,       0.147713
2016-01-02 09:20:00,      0.0936937
2016-01-02 09:40:00,      0.0496023
2016-01-02 10:00:00,    -0.00600916
2016-01-02 10:20:00,      -0.060884
2016-01-02 10:40:00,      -0.105729
2016-01-02 11:00:00,      -0.160167
2016-01-02 11:20:00,      -0.199587
2016-01-02 11:40:00,      -0.238508
2016-01-02 12:00:00,      -0.274752
2016-01-02 12:20:00,      -0.293132
2016-01-02 12:40:00,      -0.314277
2016-01-02 13:00:00,      -0.317232
2016-01-02 13:20:00,      -0.312303
2016-01-02 13:40:00,      -0.303944
2016-01-02 14:00:00,      -0.277471
2016-01-02 14:20:00,      -0.254428
2016-01-02 14:40:00,      -0.219154
2016-01-02 15:00:00,      -0.177966
2016-01-02 15:20:00,       -0.13931
2016-01-02 15:40:00,     -0.0875328
2016-01-02 16:00:00,     -0.0423163
2016-01-02 16:20:00,     0.00575509
2016-01-02 16:40:00,      0.0565354
2016-01-02 17:00:00,      0.0967524
2016-01-02 17:20:00,       0.142797
2016-01-02 17:40:00,        0.18135
2016-01-02 18:00:00,        0.21374
2016-01-02 18:20:00,       0.248076
2016-01-02 18:40:00,       0.267744
2016-01-02 19:00:00,       0.284462
2016-01-02 19:20:00,       0.294585
2016-01-02 19:40:00,       0.290127
2016-01-02 20:00:00,       0.285306
2016-01-02 20:20:00,       0.268205
2016-01-02 20:40:00,       0.242752
2016-01-02 21:00:00,       0.216462
2016-01-02 21:20:00,       0.177455
2016-01-02 21:40:00,       0.138948
2016-01-02 22:00:00,      0.0977374
2016-01-02 22:20:00,      0.0499544
2016-01-02 22:40:00,     0.00812536
2016-01-02 23:00:00,     -0.0388433
2016-01-02 23:20:00,     -0.0835335
2016-01-02 23:40:00,      -0.122807
2016-01-03 00:00:00,      -0.164789
2016-01-03 00:20:00,      -0.196554
2016-01-03 00:40:00,       -0.22614
2016-01-03 01:00:00,      -0.250721
2016-01-03 01:20:00,      -0.264298
2016-01-03 01:40:00,      -0.276859
2016-01-03 02:00:00,      -0.277486
2016-01-03 02:20:00,       -0.27236
2016-01-03 02:40:00,       -0.26217
2016-01-03 03:00:00,      -0.240116
2016-01-03 03:20:00,       -0.21704
2016-01-03 03:40:00,      -0.184774
2016-01-03 04:00:00,      -0.147871
2016-01-03 04:20:00,      -0.110496
2016-01-03 04:40:00,     -0.0654241
2016-01-03 05:00:00,     -0.0232178
2016-01-03 05:20:00,       0.021116
2016-01-03 05:40:00,      0.0664656
2016-01-03 06:00:00,       0.105591
2016-01-03 06:20:00,        0.14635
2016-01-03 06:40:00,       0.180626
2016-01-03 07:00:00,       0.209283
2016-01-03 07:20:00,       0.236305
2016-01-03 07:40:00,       0.252813
2016-01-03 08:00:00,       0.265654
2016-01-03 08:20:00,       0.272087
2016-01-03 08:40:00,       0.268196
2016-01-03 09:00:00,       0.261395
2016-01-03 09:20:00,       0.244955
2016-01-03 09:40:00,       0.221868
2016-01-03 10:00:00,       0.195776
2016-01-03 10:20:00,       0.160633
2016-01-03 10:40:00,       0.124008
2016-01-03 11:00:00,      0.0838872
2016-01-03 11:20:00,      0.0392368
2016-01-03 11:40:00,    -0.00281789
2016-01-03 12:00:00,     -0.0477635
2016-01-03 12:20:00,     -0.0905375
2016-01-03 12:40:00,      -0.129558
2016-01-03 13:00:00,      -0.168355
2016-01-03 13:20:00,      -0.199677
2016-01-03 13:40:00,      -0.227778
2016-01-03 14:00:00,      -0.250228
2016-01-03 14:20:00,      -0.264182
2016-01-03 14:40:00,      -0.274241
2016-01-03 15:00:00,      -0.274687
2016-01-03 15:20:00,      -0.269028
2016-01-03 15:40:00,      -0.257138
2016-01-03 16:00:00,      -0.236326
2016-01-03 16:20:00,      -0.211873
2016-01-03 16:40:00,      -0.179947
2016-01-03 17:00:00,      -0.143532
2016-01-03 17:20:00,      -0.104487
2016-01-03 17:40:00,      -0.060339
2016-01-03 18:00:00,     -0.0166029
2016-01-03 18:20:00,      0.0287399
2016-01-03 18:40:00,       0.074029
2016-01-03 19:00:00,       0.115716
2016-01-03 19:20:00,       0.156565
2016-01-03 19:40:00,       0.192149
2016-01-03 20:00:00,       0.222621
2016-01-03 20:20:00,       0.248829
2016-01-03 20:40:00,       0.266603
2016-01-03 21:00:00,       0.278701
2016-01-03 21:20:00,       0.283468
2016-01-03 21:40:00,       0.279518
2016-01-03 22:00:00,       0.269868
2016-01-03 22:20:00,       0.251664
2016-01-03 22:40:00,       0.226852
2016-01-03 23:00:00,       0.196791
2016-01-03 23:20:00,       0.159702
2016-01-03 23:40:00,       0.119356
2016-01-04 00:00:00,      0.0751693
2016-01-04 00:20:00,      0.0279403
2016-01-04 00:40:00,     -0.0190287
2016-01-04 01:00:00,     -0.0671372
2016-01-04 01:20:00,      -0.113184
2016-01-04 01:40:00,      -0.156217
2016-01-04 02:00:00,      -0.196523
2016-01-04 02:20:00,      -0.230519
2016-01-04 02:40:00,      -0.259612
2016-01-04 03:00:00,      -0.281761
2016-01-04 03:20:00,      -0.295897
2016-01-04 03:40:00,       -0.30341
2016-01-04 04:00:00,       -0.30165
2016-01-04 04:20:00,      -0.292524
2016-01-04 04:40:00,      -0.275534
2016-01-04 05:00:00,      -0.250232
2016-01-04 05:20:00,      -0.219164
2016-01-04 05:40:00,      -0.180937
