date and time,x component of depth averaged velocity (m/s),y component of depth averaged velocity (m/s)
2016-01-02 14:00:00,    -0.00159766,      0.0205002
2016-01-02 14:20:00,    -0.00328192,       0.020544
2016-01-02 14:40:00,    -0.00237925,      0.0174873
2016-01-02 15:00:00,    -0.00527694,      0.0167523
2016-01-02 15:20:00,    -0.00602178,      0.0134458
2016-01-02 15:40:00,    -0.00699188,      0.0102163
2016-01-02 16:00:00,    -0.00927716,     0.00847672
2016-01-02 16:20:00,    -0.00817206,     0.00443628
2016-01-02 16:40:00,    -0.00961248,      0.0031208
2016-01-02 17:00:00,     -0.0101802,     0.00123892
2016-01-02 17:20:00,     -0.0101703,    -0.00107581
2016-01-02 17:40:00,     -0.0127581,   -0.000884986
2016-01-02 18:00:00,     -0.0125802,    -0.00303412
2016-01-02 18:20:00,     -0.0132611,    -0.00404025
2016-01-02 18:40:00,     -0.0140495,    -0.00483876
2016-01-02 19:00:00,     -0.0126266,    -0.00783326
2016-01-02 19:20:00,     -0.0137897,    -0.00907075
2016-01-02 19:40:00,     -0.0137019,     -0.0119262
2016-01-02 20:00:00,     -0.0132857,     -0.0150651
2016-01-02 20:20:00,     -0.0145119,     -0.0163779
2016-01-02 20:40:00,     -0.0131969,      -0.019284
2016-01-02 21:00:00,      -0.013291,     -0.0204507
2016-01-02 21:20:00,     -0.0136967,     -0.0210109
2016-01-02 21:40:00,     -0.0126444,     -0.0224549
2016-01-02 22:00:00,     -0.0138189,     -0.0216131
2016-01-02 22:20:00,     -0.0132656,     -0.0218851
2016-01-02 22:40:00,     -0.0125631,     -0.0218654
2016-01-02 23:00:00,     -0.0128904,     -0.0207013
2016-01-02 23:20:00,     -0.0110374,     -0.0213224
2016-01-02 23:40:00,     -0.0109809,     -0.0204318
2016-01-03 00:00:00,     -0.0103359,     -0.0201267
2016-01-03 00:20:00,    -0.00903312,     -0.0203172
2016-01-03 00:40:00,    -0.00941467,     -0.0188647
2016-01-03 01:00:00,    -0.00779831,     -0.0188974
2016-01-03 01:20:00,    -0.00735079,     -0.0176256
2016-01-03 01:40:00,    -0.00680017,     -0.0162531
2016-01-03 02:00:00,    -0.00520432,     -0.0156575
2016-01-03 02:20:00,     -0.0054657,     -0.0134224
2016-01-03 02:40:00,    -0.00416256,     -0.0125648
2016-01-03 03:00:00,    -0.00372013,     -0.0109575
2016-01-03 03:20:00,     -0.0035589,    -0.00911602
2016-01-03 03:40:00,    -0.00203904,    -0.00848397
2016-01-03 04:00:00,    -0.00214245,    -0.00653036
2016-01-03 04:20:00,   -0.000965639,     -0.0058598
2016-01-03 04:40:00,   -0.000169453,     -0.0050928
2016-01-03 05:00:00,   -0.000232992,    -0.00382579
2016-01-03 05:20:00,     0.00113264,    -0.00396044
2016-01-03 05:40:00,     0.00107214,      -0.002915
2016-01-03 06:00:00,     0.00173714,    -0.00248493
2016-01-03 06:20:00,     0.00276311,    -0.00238234
2016-01-03 06:40:00,     0.00241721,     -0.0011894
2016-01-03 07:00:00,     0.00327262,    -0.00139315
2016-01-03 07:20:00,     0.00299234,    -0.00115189
2016-01-03 07:40:00,     0.00222545,   -0.000925996
2016-01-03 08:00:00,     0.00219919,    -0.00209581
2016-01-03 08:20:00,    0.000458638,    -0.00270106
2016-01-03 08:40:00,   -0.000947145,    -0.00483848
2016-01-03 09:00:00,    -0.00286796,    -0.00804617
2016-01-03 09:20:00,    -0.00630324,     -0.0111028
2016-01-03 09:40:00,    -0.00875594,     -0.0157063
2016-01-03 10:00:00,     -0.0123532,     -0.0198769
2016-01-03 10:20:00,     -0.0161764,     -0.0243273
2016-01-03 10:40:00,     -0.0193689,     -0.0297308
2016-01-03 11:00:00,     -0.0239519,     -0.0342604
2016-01-03 11:20:00,     -0.0278013,     -0.0397737
2016-01-03 11:40:00,     -0.0320257,     -0.0452784
2016-01-03 12:00:00,     -0.0369915,     -0.0504579
2016-01-03 12:20:00,     -0.0407084,     -0.0564806
2016-01-03 12:40:00,      -0.044909,     -0.0612884
2016-01-03 13:00:00,      -0.048129,     -0.0660532
2016-01-03 13:20:00,     -0.0505709,     -0.0704591
2016-01-03 13:40:00,      -0.053337,     -0.0735914
2016-01-03 14:00:00,     -0.0546358,     -0.0769884
