date and time,water level (m)
2016-01-01 00:00:00,            0.2
2016-01-01 00:20:00,       -0.47078
2016-01-01 00:40:00,      -0.431665
2016-01-01 01:00:00,      -0.359484
2016-01-01 01:20:00,      -0.238059
2016-01-01 01:40:00,      -0.168778
2016-01-01 02:00:00,     -0.0635479
2016-01-01 02:20:00,      0.0204903
2016-01-01 02:40:00,      0.0835332
2016-01-01 03:00:00,       0.157512
2016-01-01 03:20:00,       0.185996
2016-01-01 03:40:00,       0.230761
2016-01-01 04:00:00,       0.247408
2016-01-01 04:20:00,       0.303033
2016-01-01 04:40:00,       0.352378
2016-01-01 05:00:00,       0.412949
2016-01-01 05:20:00,       0.479011
2016-01-01 05:40:00,        0.50234
2016-01-01 06:00:00,       0.519277
2016-01-01 06:20:00,       0.497162
2016-01-01 06:40:00,        0.45475
2016-01-01 07:00:00,       0.393233
2016-01-01 07:20:00,       0.308048
2016-01-01 07:40:00,       0.222765
2016-01-01 08:00:00,       0.136871
2016-01-01 08:20:00,       0.056662
2016-01-01 08:40:00,     -0.0109004
2016-01-01 09:00:00,     -0.0691824
2016-01-01 09:20:00,      -0.123744
2016-01-01 09:40:00,      -0.177484
2016-01-01 10:00:00,      -0.230443
2016-01-01 10:20:00,      -0.278863
2016-01-01 10:40:00,      -0.323961
2016-01-01 11:00:00,      -0.359553
2016-01-01 11:20:00,      -0.388232
2016-01-01 11:40:00,      -0.408412
2016-01-01 12:00:00,      -0.418957
2016-01-01 12:20:00,      -0.419243
2016-01-01 12:40:00,      -0.409995
2016-01-01 13:00:00,      -0.383077
2016-01-01 13:20:00,      -0.349715
2016-01-01 13:40:00,      -0.292086
2016-01-01 14:00:00,      -0.231226
2016-01-01 14:20:00,      -0.158481
2016-01-01 14:40:00,     -0.0794152
2016-01-01 15:00:00,    -0.00177456
2016-01-01 15:20:00,      0.0764968
2016-01-01 15:40:00,       0.152624
2016-01-01 16:00:00,       0.217144
2016-01-01 16:20:00,       0.276331
2016-01-01 16:40:00,       0.318563
2016-01-01 17:00:00,       0.346054
2016-01-01 17:20:00,       0.364334
2016-01-01 17:40:00,       0.372406
2016-01-01 18:00:00,        0.37571
2016-01-01 18:20:00,       0.377209
2016-01-01 18:40:00,       0.371599
2016-01-01 19:00:00,       0.360647
2016-01-01 19:20:00,       0.337212
2016-01-01 19:40:00,       0.302817
2016-01-01 20:00:00,       0.258078
2016-01-01 20:20:00,       0.201346
2016-01-01 20:40:00,        0.13508
2016-01-01 21:00:00,      0.0657257
2016-01-01 21:20:00,    -0.00968681
2016-01-01 21:40:00,     -0.0785959
2016-01-01 22:00:00,      -0.146952
2016-01-01 22:20:00,      -0.203611
2016-01-01 22:40:00,      -0.252131
2016-01-01 23:00:00,      -0.292476
2016-01-01 23:20:00,      -0.322021
2016-01-01 23:40:00,      -0.342953
2016-01-02 00:00:00,      -0.355924
2016-01-02 00:20:00,      -0.356931
2016-01-02 00:40:00,      -0.352773
2016-01-02 01:00:00,      -0.336232
2016-01-02 01:20:00,      -0.314339
2016-01-02 01:40:00,      -0.285178
2016-01-02 02:00:00,      -0.248389
2016-01-02 02:20:00,       -0.20847
2016-01-02 02:40:00,      -0.161699
2016-01-02 03:00:00,      -0.110227
2016-01-02 03:20:00,     -0.0556463
2016-01-02 03:40:00,     0.00366207
2016-01-02 04:00:00,      0.0624374
2016-01-02 04:20:00,       0.121595
2016-01-02 04:40:00,       0.177128
2016-01-02 05:00:00,       0.226719
2016-01-02 05:20:00,       0.269939
2016-01-02 05:40:00,       0.303277
2016-01-02 06:00:00,       0.326361
2016-01-02 06:20:00,       0.338622
2016-01-02 06:40:00,       0.339683
2016-01-02 07:00:00,       0.331824
