date and time,water level (m)
2016-01-01 00:00:00,             10
2016-01-01 00:20:00,      -0.606912
2016-01-01 00:40:00,      -0.153311
2016-01-01 01:00:00,     -0.0162525
2016-01-01 01:20:00,      -0.308394
2016-01-01 01:40:00,      0.0918078
2016-01-01 02:00:00,      -0.121304
2016-01-01 02:20:00,       0.177136
2016-01-01 02:40:00,        0.34576
2016-01-01 03:00:00,       0.214909
2016-01-01 03:20:00,       0.427927
2016-01-01 03:40:00,       0.294187
2016-01-01 04:00:00,       0.149258
2016-01-01 04:20:00,       0.147497
2016-01-01 04:40:00,       0.192676
2016-01-01 05:00:00,       0.264682
2016-01-01 05:20:00,       0.497773
2016-01-01 05:40:00,       0.509591
2016-01-01 06:00:00,       0.536888
2016-01-01 06:20:00,       0.524608
2016-01-01 06:40:00,       0.469753
2016-01-01 07:00:00,       0.455422
2016-01-01 07:20:00,       0.353661
2016-01-01 07:40:00,       0.213032
2016-01-01 08:00:00,      0.0767023
2016-01-01 08:20:00,       -0.10511
2016-01-01 08:40:00,      -0.147819
2016-01-01 09:00:00,      -0.176059
2016-01-01 09:20:00,      -0.215881
2016-01-01 09:40:00,      -0.123645
2016-01-01 10:00:00,      -0.203489
2016-01-01 10:20:00,       -0.21601
2016-01-01 10:40:00,      -0.274834
2016-01-01 11:00:00,      -0.314741
2016-01-01 11:20:00,      -0.327462
2016-01-01 11:40:00,      -0.317965
2016-01-01 12:00:00,      -0.323818
2016-01-01 12:20:00,      -0.378561
2016-01-01 12:40:00,      -0.379064
2016-01-01 13:00:00,      -0.402212
2016-01-01 13:20:00,      -0.442509
2016-01-01 13:40:00,      -0.391915
2016-01-01 14:00:00,      -0.287262
2016-01-01 14:20:00,      -0.214177
2016-01-01 14:40:00,      -0.096526
2016-01-01 15:00:00,     -0.0142164
2016-01-01 15:20:00,      0.0836674
2016-01-01 15:40:00,       0.159198
2016-01-01 16:00:00,       0.204454
2016-01-01 16:20:00,       0.328209
2016-01-01 16:40:00,       0.359641
2016-01-01 17:00:00,       0.365192
2016-01-01 17:20:00,         0.3811
2016-01-01 17:40:00,       0.337015
2016-01-01 18:00:00,       0.325073
2016-01-01 18:20:00,       0.347536
2016-01-01 18:40:00,       0.331656
2016-01-01 19:00:00,       0.353636
2016-01-01 19:20:00,       0.342872
2016-01-01 19:40:00,       0.315695
2016-01-01 20:00:00,       0.275549
2016-01-01 20:20:00,       0.217922
2016-01-01 20:40:00,       0.172336
2016-01-01 21:00:00,      0.0835021
2016-01-01 21:20:00,     -0.0251305
2016-01-01 21:40:00,     -0.0855329
2016-01-01 22:00:00,      -0.180852
2016-01-01 22:20:00,       -0.25415
2016-01-01 22:40:00,      -0.285859
2016-01-01 23:00:00,      -0.323118
2016-01-01 23:20:00,      -0.317755
2016-01-01 23:40:00,      -0.356254
2016-01-02 00:00:00,      -0.364863
2016-01-02 00:20:00,      -0.333199
2016-01-02 00:40:00,      -0.352857
2016-01-02 01:00:00,      -0.316553
2016-01-02 01:20:00,      -0.291398
2016-01-02 01:40:00,      -0.258475
2016-01-02 02:00:00,       -0.21642
2016-01-02 02:20:00,      -0.204734
2016-01-02 02:40:00,      -0.163568
2016-01-02 03:00:00,      -0.128471
2016-01-02 03:20:00,     -0.0983019
2016-01-02 03:40:00,     -0.0229854
2016-01-02 04:00:00,      0.0346116
2016-01-02 04:20:00,      0.0966687
2016-01-02 04:40:00,       0.171422
2016-01-02 05:00:00,        0.22404
2016-01-02 05:20:00,       0.287921
2016-01-02 05:40:00,       0.321547
2016-01-02 06:00:00,       0.353155
2016-01-02 06:20:00,       0.374695
2016-01-02 06:40:00,       0.344232
2016-01-02 07:00:00,       0.318494
2016-01-02 07:20:00,       0.298231
2016-01-02 07:40:00,       0.256555
2016-01-02 08:00:00,       0.247473
2016-01-02 08:20:00,       0.212155
2016-01-02 08:40:00,       0.181871
2016-01-02 09:00:00,       0.161684
2016-01-02 09:20:00,       0.102547
2016-01-02 09:40:00,      0.0657661
2016-01-02 10:00:00,      0.0211523
2016-01-02 10:20:00,     -0.0416147
2016-01-02 10:40:00,     -0.0878801
2016-01-02 11:00:00,      -0.152866
2016-01-02 11:20:00,      -0.209127
2016-01-02 11:40:00,      -0.249506
2016-01-02 12:00:00,      -0.304291
2016-01-02 12:20:00,      -0.318494
2016-01-02 12:40:00,      -0.331386
