Station code   : DB08 - DURB BLUFF
Latitude       : 29.884
Longitude      : 31.07067
Water Depth    : 30
Date range     : 2014-01-01 to 2018-06-30
Hmo range      : No range selected
Instrument Type: All Instruments
Notes          : Date/times are UTC, Directions are TN
Notes          : A complete legend is at the end of the data file
StID  Date         Time     Hmo      H1      Tp      Tz      Tc      Tb Directn SpreadF      Hs    Hmax Instr Code
----- ------------ ---- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ----------
DATA
DB08  2014  01  06 1200    2.39    4.16   14.29    8.03 9999.99 9999.99  107.34   16.42    2.39    4.16     27
DB08  2014  01  06 1500    2.55    4.61   15.38    8.28 9999.99 9999.99  106.73   11.38    2.55    4.61     27
DB08  2014  01  06 1800    2.68    4.30   13.33    8.09 9999.99 9999.99  106.64   15.54    2.68    4.30     27
DB08  2014  01  06 2100    3.39    5.33   15.38   10.48 9999.99 9999.99  101.63   15.30    3.39    5.33     27
DB08  2014  01  07 0000    2.64    3.58   15.38   10.08 9999.99 9999.99  100.92   19.82    2.64    3.58     27
DB08  2014  01  07 0300    2.89    4.13   14.29   10.19 9999.99 9999.99  102.24   15.82    2.89    4.13     27
DB08  2014  01  07 0600    2.37    3.59   13.33    9.00 9999.99 9999.99  102.77   23.16    2.37    3.59     27
DB08  2014  01  07 0900    2.02    3.08   13.33    8.59 9999.99 9999.99   98.46   18.77    2.02    3.08     27
DB08  2014  01  07 1200    1.94    2.72   12.50    7.77 9999.99 9999.99  102.33   17.16    1.94    2.72     27
DB08  2014  01  07 1500    1.87    3.35   11.76    7.02 9999.99 9999.99  100.04   17.43    1.87    3.35     27
DB08  2014  01  07 1800    1.81    2.99    9.52    6.54 9999.99 9999.99  106.99   17.52    1.81    2.99     27
DB08  2014  01  07 2100    1.63    2.71   11.76    6.67 9999.99 9999.99  105.76   18.88    1.63    2.71     27
DB08  2014  01  08 0000    1.61    2.25   10.53    6.27 9999.99 9999.99  104.88   13.69    1.61    2.25     27
DB08  2014  01  08 0300    1.36    2.13   11.11    6.64 9999.99 9999.99  103.30   24.46    1.36    2.13     27
DB08  2014  01  08 0600    1.45    2.16   11.11    6.41 9999.99 9999.99  103.91   21.30    1.45    2.16     27
DB08  2014  01  08 0900    1.36    2.56   11.11    5.49 9999.99 9999.99  105.05   29.93    1.36    2.56     27
DB08  2014  01  08 1200    1.78    3.21   10.53    6.13 9999.99 9999.99  100.66   19.49    1.78    3.21     27
DB08  2014  01  08 1500    1.84    2.98   10.53    5.46 9999.99 9999.99  101.01   20.15    1.84    2.98     27
