Station code   : RB01 - RICHARDS BAY
Latitude       : 28.8265
Longitude      : 32.104
Water Depth    : 22
Date range     : 2014-01-01 to 2018-06-30
Hmo range      : No range selected
Instrument Type: All Instruments
Notes          : Date/times are UTC, Directions are TN
Notes          : A complete legend is at the end of the data file
StID  Date         Time     Hmo      H1      Tp      Tz      Tc      Tb Directn SpreadF      Hs    Hmax Instr Code
----- ------------ ---- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ----------
DATA
RB01  2014  01  06 1200    1.99    3.30   16.67    8.37 9999.99 9999.99  107.52   19.41    1.99    3.30     27
RB01  2014  01  06 1500    2.40    3.17   12.50    8.67 9999.99 9999.99  102.68   16.20    2.40    3.17     27
RB01  2014  01  06 1800    2.34    3.35   14.29    8.76 9999.99 9999.99  105.93   17.16    2.34    3.35     27
RB01  2014  01  06 2100    2.29    3.59   15.38    9.05 9999.99 9999.99  108.22   16.62    2.29    3.59     27
RB01  2014  01  07 0000    2.27    3.37   14.29    9.20 9999.99 9999.99   99.52   15.82    2.27    3.37     27
RB01  2014  01  07 0300    2.17    3.09   14.29    8.60 9999.99 9999.99  103.21   17.43    2.17    3.09     27
RB01  2014  01  07 0600    2.03    3.11   14.29    8.51 9999.99 9999.99  103.21   25.78    2.03    3.11     27
RB01  2014  01  07 0900    1.63    2.59   12.50    7.53 9999.99 9999.99  106.20   26.55    1.63    2.59     27
RB01  2014  01  07 1200    1.78    2.52   11.76    7.73 9999.99 9999.99  101.80   26.20    1.78    2.52     27
RB01  2014  01  07 1500    1.62    2.40   11.76    6.72 9999.99 9999.99  101.36   20.66    1.62    2.40     27
RB01  2014  01  07 1800    1.78    2.84   11.76    6.70 9999.99 9999.99  100.31   22.35    1.78    2.84     27
RB01  2014  01  07 2100    1.54    2.25   10.53    6.20 9999.99 9999.99   99.69   22.31    1.54    2.25     27
RB01  2014  01  08 0000    1.58    2.62   11.11    6.11 9999.99 9999.99  101.01   23.43    1.58    2.62     27
RB01  2014  01  08 0300    1.68    2.56   11.11    6.42 9999.99 9999.99   97.93   19.69    1.68    2.56     27
RB01  2014  01  08 0600    1.55    2.13   10.53    5.74 9999.99 9999.99  101.98   23.47    1.55    2.13     27
RB01  2014  01  08 0900    1.50    2.04   10.53    5.56 9999.99 9999.99  101.63   25.16    1.50    2.04     27
RB01  2014  01  08 1200    1.50    2.26   10.53    5.12 9999.99 9999.99  107.69   23.52    1.50    2.26     27
RB01  2014  01  08 1500    1.67    2.82   10.00    5.58 9999.99 9999.99  113.32   23.32    1.67    2.82     27
RB01  2014  01  08 1800    1.56    2.36   10.00    5.46 9999.99 9999.99  109.01   26.64    1.56    2.36     27
RB01  2014  01  08 2100    1.41    2.20    9.52    5.34 9999.99 9999.99  120.88   32.11    1.41    2.20     27
RB01  2014  01  09 0000    1.43    2.28    9.52    5.69 9999.99 9999.99  110.15   21.69    1.43    2.28     27
RB01  2014  01  09 0300    1.45    2.99    6.45    5.63 9999.99 9999.99   97.58   23.80    1.45    2.99     27
RB01  2014  01  09 0600    1.47    2.46    6.67    5.79 9999.99 9999.99  101.45   25.05    1.47    2.46     27
RB01  2014  01  09 0900    1.28    1.89    9.52    5.25 9999.99 9999.99  118.51   39.38    1.28    1.89     27
RB01  2014  01  09 1200    1.75    2.70    9.09    6.12 9999.99 9999.99  129.49   25.25    1.75    2.70     27
RB01  2014  01  09 1500    1.76    2.65    9.09    4.77 9999.99 9999.99  130.20   22.40    1.76    2.65     27
RB01  2014  01  09 1800    1.73    2.54    8.33    5.10 9999.99 9999.99  133.98   27.69    1.73    2.54     27
RB01  2014  01  09 2100    1.57    2.96    8.00    5.72 9999.99 9999.99  132.57   27.98    1.57    2.96     27
RB01  2014  01  10 0000    1.64    2.42    8.00    5.72 9999.99 9999.99  122.11   21.74    1.64    2.42     27
RB01  2014  01  10 0300    1.65    2.86   10.00    6.72 9999.99 9999.99  142.68   25.38    1.65    2.86     27
RB01  2014  01  10 0600    1.62    2.78    8.70    6.84 9999.99 9999.99  126.24   25.41    1.62    2.78     27
RB01  2014  01  10 0900    1.74    2.91    8.33    6.06 9999.99 9999.99  124.92   26.68    1.74    2.91     27
RB01  2014  01  10 1200    1.75    3.05    9.52    6.14 9999.99 9999.99  125.36   26.09    1.75    3.05     27
RB01  2014  01  10 1500    2.01    3.28   10.00    5.77 9999.99 9999.99  135.30   20.42    2.01    3.28     27
RB01  2014  01  10 1800    1.93    3.34   10.00    6.01 9999.99 9999.99  123.34   21.60    1.93    3.34     27
RB01  2014  01  10 2100    2.35    3.56    9.52    5.92 9999.99 9999.99  129.05   23.05    2.35    3.56     27
RB01  2014  01  11 0000    2.60    3.97   10.53    7.15 9999.99 9999.99  123.25   16.02    2.60    3.97     27
RB01  2014  01  11 0300    2.50    3.64   10.53    6.60 9999.99 9999.99  113.76   17.45    2.50    3.64     27
RB01  2014  01  11 0600    1.98    3.31   11.11    6.01 9999.99 9999.99  111.65   22.66    1.98    3.31     27
RB01  2014  01  11 0900    2.20    3.33   11.76    6.76 9999.99 9999.99  110.07   16.75    2.20    3.33     27
RB01  2014  01  11 1200    2.18    3.43   11.11    7.14 9999.99 9999.99  104.18   22.42    2.18    3.43     27
RB01  2014  01  11 1500    2.23    3.08   11.11    7.76 9999.99 9999.99  106.99   23.58    2.23    3.08     27
RB01  2014  01  11 1800    1.97    3.66   11.11    7.49 9999.99 9999.99  109.89   20.18    1.97    3.66     27
RB01  2014  01  11 2100    1.75    2.79   10.53    7.18 9999.99 9999.99  118.42   18.31    1.75    2.79     27
RB01  2014  01  12 0000    1.75    3.22   11.11    7.81 9999.99 9999.99  111.74   16.35    1.75    3.22     27
RB01  2014  01  12 0300    1.60    2.49   11.76    7.35 9999.99 9999.99  117.45   25.30    1.60    2.49     27
RB01  2014  01  12 0600    1.53    2.14   10.53    6.57 9999.99 9999.99  124.66   25.32    1.53    2.14     27
RB01  2014  01  12 0900    1.58    2.46   11.11    5.46 9999.99 9999.99  124.22   33.71    1.58    2.46     27
RB01  2014  01  12 1200    1.83    3.23   10.53    4.74 9999.99 9999.99  118.86   27.19    1.83    3.23     27
RB01  2014  01  12 1500    1.85    2.65   11.11    4.67 9999.99 9999.99  113.85   29.74    1.85    2.65     27
RB01  2014  01  12 1800    1.72    2.84   10.53    5.08 9999.99 9999.99  106.99   28.59    1.72    2.84     27
RB01  2014  01  12 2100    1.48    2.30   10.00    5.74 9999.99 9999.99  115.43   26.77    1.48    2.30     27
RB01  2014  01  13 0000    1.45    2.27   10.00    5.32 9999.99 9999.99  116.57   32.73    1.45    2.27     27
RB01  2014  01  13 0300    1.74    2.46   10.00    4.99 9999.99 9999.99  125.10   41.85    1.74    2.46     27
RB01  2014  01  13 0600    1.66    2.62   10.00    4.69 9999.99 9999.99  134.51   28.48    1.66    2.62     27
RB01  2014  01  13 0900    1.80    3.39    9.52    4.55 9999.99 9999.99  129.58   23.65    1.80    3.39     27
RB01  2014  01  13 1200    1.96    3.75    7.69    4.67 9999.99 9999.99  155.96   25.21    1.96    3.75     27
RB01  2014  01  13 1500    1.62    2.43    8.70    4.66 9999.99 9999.99  138.64   29.76    1.62    2.43     27
RB01  2014  01  13 1800    1.60    3.21    6.67    4.67 9999.99 9999.99  161.14   24.04    1.60    3.21     27
RB01  2014  01  13 2100    1.58    2.18    6.90    4.65 9999.99 9999.99  146.20   25.76    1.58    2.18     27
RB01  2014  01  14 0000    1.50    2.64    6.67    4.79 9999.99 9999.99  154.46   27.54    1.50    2.64     27
RB01  2014  01  14 0300    1.44    2.32    9.09    5.09 9999.99 9999.99  146.37   42.24    1.44    2.32     27
RB01  2014  01  14 0600    1.51    2.72   10.00    5.71 9999.99 9999.99  156.22   26.79    1.51    2.72     27
RB01  2014  01  14 0900    1.42    2.48    9.52    5.83 9999.99 9999.99  141.89   40.07    1.42    2.48     27
RB01  2014  01  14 1200    1.69    2.84   10.00    6.19 9999.99 9999.99  150.42   33.91    1.69    2.84     27
