date and time,x component of depth averaged velocity (m/s),y component of depth averaged velocity (m/s)
2016-01-01 00:00:00,             -0,              0
2016-01-01 00:20:00,     -0.0800481,      0.0643618
2016-01-01 00:40:00,     -0.0794163,     -0.0525932
2016-01-01 01:00:00,      -0.144962,     -0.0713767
2016-01-01 01:20:00,      -0.156435,      -0.150815
2016-01-01 01:40:00,      -0.195741,      -0.231717
2016-01-01 02:00:00,      -0.224657,      -0.293032
2016-01-01 02:20:00,      -0.252092,      -0.376113
2016-01-01 02:40:00,      -0.261889,      -0.412019
2016-01-01 03:00:00,      -0.287108,        -0.4551
2016-01-01 03:20:00,      -0.269921,      -0.478732
2016-01-01 03:40:00,      -0.239217,      -0.502082
2016-01-01 04:00:00,      -0.227967,      -0.501136
2016-01-01 04:20:00,      -0.252483,      -0.467277
2016-01-01 04:40:00,      -0.257587,      -0.451808
2016-01-01 05:00:00,      -0.263758,      -0.439751
2016-01-01 05:20:00,      -0.264313,       -0.43714
2016-01-01 05:40:00,      -0.250355,      -0.445116
2016-01-01 06:00:00,      -0.250213,      -0.455074
2016-01-01 06:20:00,       -0.24649,      -0.462664
2016-01-01 06:40:00,      -0.243721,      -0.470367
2016-01-01 07:00:00,      -0.242419,      -0.468822
2016-01-01 07:20:00,      -0.238273,      -0.458248
2016-01-01 07:40:00,      -0.231813,      -0.442627
2016-01-01 08:00:00,      -0.232247,      -0.408509
2016-01-01 08:20:00,      -0.232906,      -0.367182
2016-01-01 08:40:00,      -0.226635,      -0.318957
2016-01-01 09:00:00,      -0.223595,      -0.271624
2016-01-01 09:20:00,      -0.210974,      -0.231643
2016-01-01 09:40:00,      -0.201593,      -0.200134
2016-01-01 10:00:00,      -0.191744,      -0.175162
2016-01-01 10:20:00,      -0.185442,      -0.155377
2016-01-01 10:40:00,      -0.179889,      -0.134004
2016-01-01 11:00:00,      -0.174665,       -0.11071
2016-01-01 11:20:00,      -0.163036,     -0.0834643
2016-01-01 11:40:00,      -0.146131,     -0.0506129
2016-01-01 12:00:00,      -0.120305,     -0.0178829
2016-01-01 12:20:00,     -0.0847638,      0.0154562
2016-01-01 12:40:00,        -0.0441,      0.0475502
2016-01-01 13:00:00,    -0.00149624,      0.0737283
2016-01-01 13:20:00,      0.0353984,      0.0970491
2016-01-01 13:40:00,       0.066241,       0.116697
2016-01-01 14:00:00,      0.0914027,       0.138177
2016-01-01 14:20:00,        0.10887,       0.161025
2016-01-01 14:40:00,        0.12229,       0.187637
2016-01-01 15:00:00,       0.133512,       0.215574
2016-01-01 15:20:00,       0.141085,       0.242769
2016-01-01 15:40:00,       0.145665,       0.264353
2016-01-01 16:00:00,       0.149277,       0.280925
2016-01-01 16:20:00,       0.149997,       0.290759
2016-01-01 16:40:00,       0.150886,       0.295501
2016-01-01 17:00:00,        0.14915,       0.294426
2016-01-01 17:20:00,       0.145643,       0.290579
2016-01-01 17:40:00,       0.140411,       0.282179
2016-01-01 18:00:00,        0.13373,       0.269561
2016-01-01 18:20:00,       0.126775,       0.254906
2016-01-01 18:40:00,       0.120102,       0.238447
2016-01-01 19:00:00,       0.114147,       0.220538
2016-01-01 19:20:00,       0.107053,       0.202365
2016-01-01 19:40:00,       0.101099,       0.183528
2016-01-01 20:00:00,      0.0937465,        0.16592
2016-01-01 20:20:00,      0.0873029,       0.150798
2016-01-01 20:40:00,      0.0799996,       0.138145
2016-01-01 21:00:00,      0.0736969,        0.12914
2016-01-01 21:20:00,      0.0658555,       0.122451
2016-01-01 21:40:00,      0.0587235,       0.117538
2016-01-01 22:00:00,      0.0502605,       0.114121
2016-01-01 22:20:00,      0.0417538,       0.110906
2016-01-01 22:40:00,      0.0330321,       0.107959
2016-01-01 23:00:00,      0.0247706,       0.104194
2016-01-01 23:20:00,      0.0160715,      0.0995815
2016-01-01 23:40:00,     0.00810805,      0.0935721
2016-01-02 00:00:00,   -0.000384484,       0.086085
2016-01-02 00:20:00,    -0.00813853,       0.077053
2016-01-02 00:40:00,     -0.0159959,      0.0662398
2016-01-02 01:00:00,     -0.0232531,      0.0544823
2016-01-02 01:20:00,     -0.0304635,      0.0413868
2016-01-02 01:40:00,     -0.0368806,      0.0277969
2016-01-02 02:00:00,     -0.0434519,      0.0141303
2016-01-02 02:20:00,      -0.049487,    0.000541376
2016-01-02 02:40:00,     -0.0558811,     -0.0122466
2016-01-02 03:00:00,     -0.0622881,     -0.0240333
2016-01-02 03:20:00,     -0.0679328,     -0.0349869
2016-01-02 03:40:00,     -0.0732631,      -0.044114
2016-01-02 04:00:00,     -0.0773614,     -0.0520756
2016-01-02 04:20:00,     -0.0800516,     -0.0590873
2016-01-02 04:40:00,     -0.0823912,     -0.0655137
2016-01-02 05:00:00,     -0.0835518,     -0.0727504
2016-01-02 05:20:00,     -0.0842876,     -0.0808414
2016-01-02 05:40:00,     -0.0851448,     -0.0896502
2016-01-02 06:00:00,     -0.0846467,     -0.0995367
2016-01-02 06:20:00,     -0.0845975,      -0.108876
2016-01-02 06:40:00,     -0.0835842,      -0.116972
2016-01-02 07:00:00,     -0.0823686,      -0.123154
