date and time,water level (m)
2016-01-01 00:00:00,            0.8
2016-01-01 00:20:00,      -0.490135
2016-01-01 00:40:00,      -0.430196
2016-01-01 01:00:00,      -0.359311
2016-01-01 01:20:00,      -0.231781
2016-01-01 01:40:00,      -0.177137
2016-01-01 02:00:00,      -0.100746
2016-01-01 02:20:00,     -0.0257907
2016-01-01 02:40:00,      0.0138932
2016-01-01 03:00:00,       0.093784
2016-01-01 03:20:00,       0.132906
2016-01-01 03:40:00,       0.198961
2016-01-01 04:00:00,       0.242779
2016-01-01 04:20:00,       0.301533
2016-01-01 04:40:00,       0.346425
2016-01-01 05:00:00,       0.385804
2016-01-01 05:20:00,       0.413619
2016-01-01 05:40:00,       0.421203
2016-01-01 06:00:00,       0.415818
2016-01-01 06:20:00,       0.393914
2016-01-01 06:40:00,       0.357773
2016-01-01 07:00:00,       0.311024
2016-01-01 07:20:00,       0.253118
2016-01-01 07:40:00,       0.190592
2016-01-01 08:00:00,       0.121336
2016-01-01 08:20:00,      0.0507515
2016-01-01 08:40:00,     -0.0228919
2016-01-01 09:00:00,     -0.0944769
2016-01-01 09:20:00,      -0.165595
2016-01-01 09:40:00,      -0.232084
2016-01-01 10:00:00,      -0.294269
2016-01-01 10:20:00,      -0.348476
2016-01-01 10:40:00,      -0.394896
2016-01-01 11:00:00,       -0.42984
2016-01-01 11:20:00,      -0.455119
2016-01-01 11:40:00,      -0.467488
2016-01-01 12:00:00,      -0.468686
2016-01-01 12:20:00,       -0.45755
2016-01-01 12:40:00,      -0.434639
2016-01-01 13:00:00,      -0.400567
2016-01-01 13:20:00,      -0.356229
2016-01-01 13:40:00,       -0.30296
2016-01-01 14:00:00,      -0.242975
2016-01-01 14:20:00,      -0.177249
2016-01-01 14:40:00,      -0.108066
2016-01-01 15:00:00,     -0.0374298
2016-01-01 15:20:00,      0.0331755
2016-01-01 15:40:00,       0.100811
2016-01-01 16:00:00,       0.163841
2016-01-01 16:20:00,       0.220168
2016-01-01 16:40:00,       0.268167
2016-01-01 17:00:00,       0.307369
2016-01-01 17:20:00,       0.336469
2016-01-01 17:40:00,       0.356507
2016-01-01 18:00:00,        0.36708
2016-01-01 18:20:00,       0.367299
2016-01-01 18:40:00,       0.356883
2016-01-01 19:00:00,       0.335353
2016-01-01 19:20:00,       0.303845
2016-01-01 19:40:00,       0.262825
2016-01-01 20:00:00,       0.213981
2016-01-01 20:20:00,       0.159143
2016-01-01 20:40:00,        0.10013
2016-01-01 21:00:00,      0.0388232
2016-01-01 21:20:00,     -0.0231023
2016-01-01 21:40:00,     -0.0840338
2016-01-01 22:00:00,      -0.142368
2016-01-01 22:20:00,      -0.196599
2016-01-01 22:40:00,      -0.245311
2016-01-01 23:00:00,      -0.287144
2016-01-01 23:20:00,      -0.321176
2016-01-01 23:40:00,      -0.346474
2016-01-02 00:00:00,      -0.362316
2016-01-02 00:20:00,      -0.368252
2016-01-02 00:40:00,      -0.364129
2016-01-02 01:00:00,       -0.35003
2016-01-02 01:20:00,       -0.32645
2016-01-02 01:40:00,      -0.294138
2016-01-02 02:00:00,      -0.254062
2016-01-02 02:20:00,      -0.207474
2016-01-02 02:40:00,      -0.155664
2016-01-02 03:00:00,      -0.100206
2016-01-02 03:20:00,     -0.0428559
2016-01-02 03:40:00,      0.0151593
2016-01-02 04:00:00,      0.0722281
2016-01-02 04:20:00,       0.127228
2016-01-02 04:40:00,       0.178157
2016-01-02 05:00:00,       0.224078
2016-01-02 05:20:00,       0.263742
2016-01-02 05:40:00,       0.295852
2016-01-02 06:00:00,       0.319754
2016-01-02 06:20:00,       0.334784
2016-01-02 06:40:00,       0.340492
2016-01-02 07:00:00,       0.337045
2016-01-02 07:20:00,       0.324624
2016-01-02 07:40:00,       0.303854
2016-01-02 08:00:00,       0.275253
2016-01-02 08:20:00,       0.239595
2016-01-02 08:40:00,       0.198209
2016-01-02 09:00:00,       0.151956
2016-01-02 09:20:00,       0.101981
2016-01-02 09:40:00,      0.0499932
2016-01-02 10:00:00,    -0.00284236
2016-01-02 10:20:00,      -0.054816
2016-01-02 10:40:00,      -0.104795
