date and time,x component of depth averaged velocity (m/s),y component of depth averaged velocity (m/s)
2016-01-01 00:00:00,             -0,              0
2016-01-01 00:20:00,      -0.172751,     -0.0858543
2016-01-01 00:40:00,      -0.266645,      -0.329946
2016-01-01 01:00:00,      -0.400762,      -0.465943
2016-01-01 01:20:00,      -0.460667,       -0.63649
2016-01-01 01:40:00,      -0.522042,      -0.788534
2016-01-01 02:00:00,      -0.516527,      -0.918956
2016-01-01 02:20:00,      -0.549902,      -0.940457
2016-01-01 02:40:00,      -0.533851,      -0.972798
2016-01-01 03:00:00,      -0.537056,      -0.994884
2016-01-01 03:20:00,      -0.522308,       -1.00228
2016-01-01 03:40:00,      -0.519733,      -0.994485
2016-01-01 04:00:00,      -0.515972,      -0.984141
2016-01-01 04:20:00,      -0.513737,      -0.965031
2016-01-01 04:40:00,      -0.505381,      -0.952885
2016-01-01 05:00:00,      -0.495756,      -0.956709
2016-01-01 05:20:00,      -0.487318,       -0.97604
2016-01-01 05:40:00,      -0.484119,      -0.994336
2016-01-01 06:00:00,      -0.480641,       -1.00199
2016-01-01 06:20:00,      -0.475484,       -1.00423
2016-01-01 06:40:00,      -0.471761,       -1.00652
2016-01-01 07:00:00,      -0.468507,       -1.00581
2016-01-01 07:20:00,      -0.463924,       -1.00048
2016-01-01 07:40:00,      -0.457071,      -0.988324
2016-01-01 08:00:00,      -0.448164,      -0.972916
2016-01-01 08:20:00,        -0.4387,      -0.959307
2016-01-01 08:40:00,      -0.429506,      -0.947213
2016-01-01 09:00:00,      -0.420311,      -0.931909
2016-01-01 09:20:00,      -0.410292,      -0.914079
2016-01-01 09:40:00,      -0.402565,      -0.896194
2016-01-01 10:00:00,      -0.396087,      -0.880584
2016-01-01 10:20:00,      -0.390588,      -0.867595
2016-01-01 10:40:00,      -0.386276,      -0.855835
2016-01-01 11:00:00,      -0.383953,      -0.844556
2016-01-01 11:20:00,      -0.383307,      -0.833925
2016-01-01 11:40:00,      -0.383198,      -0.824441
2016-01-01 12:00:00,      -0.382396,       -0.81646
2016-01-01 12:20:00,      -0.377184,      -0.804221
2016-01-01 12:40:00,      -0.365209,      -0.783312
2016-01-01 13:00:00,      -0.348202,      -0.754825
2016-01-01 13:20:00,      -0.327895,      -0.720722
2016-01-01 13:40:00,      -0.305369,      -0.683434
2016-01-01 14:00:00,      -0.281738,      -0.643459
2016-01-01 14:20:00,      -0.257582,      -0.600224
2016-01-01 14:40:00,      -0.233217,      -0.552435
2016-01-01 15:00:00,      -0.209065,        -0.4986
2016-01-01 15:20:00,      -0.188288,      -0.440412
2016-01-01 15:40:00,      -0.172824,      -0.379329
2016-01-01 16:00:00,       -0.16111,      -0.312361
2016-01-01 16:20:00,      -0.149179,      -0.236529
2016-01-01 16:40:00,      -0.130623,      -0.148701
2016-01-01 17:00:00,     -0.0960286,      -0.048571
2016-01-01 17:20:00,     -0.0390561,      0.0556012
2016-01-01 17:40:00,       0.032889,       0.143776
2016-01-01 18:00:00,       0.101515,        0.19716
2016-01-01 18:20:00,       0.152242,       0.218323
2016-01-01 18:40:00,       0.180416,       0.222151
2016-01-01 19:00:00,       0.189845,       0.221427
2016-01-01 19:20:00,       0.187434,       0.225129
2016-01-01 19:40:00,       0.181186,       0.237822
2016-01-01 20:00:00,       0.177264,       0.258462
2016-01-01 20:20:00,        0.17909,       0.281358
2016-01-01 20:40:00,       0.186326,       0.300285
2016-01-01 21:00:00,       0.196312,       0.311053
2016-01-01 21:20:00,        0.20495,       0.312011
2016-01-01 21:40:00,       0.209513,       0.304478
2016-01-01 22:00:00,       0.209583,       0.291125
2016-01-01 22:20:00,       0.205809,       0.273536
2016-01-01 22:40:00,       0.198554,       0.252434
2016-01-01 23:00:00,       0.187974,       0.229007
2016-01-01 23:20:00,       0.174215,       0.205604
2016-01-01 23:40:00,       0.157939,        0.18453
2016-01-02 00:00:00,       0.139934,       0.167121
2016-01-02 00:20:00,       0.121189,       0.153075
2016-01-02 00:40:00,       0.102459,       0.141229
2016-01-02 01:00:00,      0.0841167,       0.130616
2016-01-02 01:20:00,      0.0663661,       0.120411
2016-01-02 01:40:00,      0.0493008,       0.110052
2016-01-02 02:00:00,       0.032966,      0.0993079
2016-01-02 02:20:00,      0.0175256,      0.0880719
2016-01-02 02:40:00,     0.00305021,      0.0763622
2016-01-02 03:00:00,     -0.0102907,      0.0641832
