date and time,x component of depth averaged velocity (m/s),y component of depth averaged velocity (m/s)
2016-01-01 00:00:00,             -0,              0
2016-01-01 00:20:00,      -0.086449,     -0.0384045
2016-01-01 00:40:00,      -0.138091,      -0.159996
2016-01-01 01:00:00,      -0.210607,      -0.234277
2016-01-01 01:20:00,      -0.253274,      -0.331786
2016-01-01 01:40:00,      -0.293303,      -0.422828
2016-01-01 02:00:00,      -0.321764,      -0.500658
2016-01-01 02:20:00,      -0.335003,      -0.576536
2016-01-01 02:40:00,      -0.345298,       -0.60978
2016-01-01 03:00:00,      -0.355186,      -0.628783
2016-01-01 03:20:00,      -0.345457,      -0.642435
2016-01-01 03:40:00,      -0.342448,      -0.646544
2016-01-01 04:00:00,      -0.342029,      -0.643559
2016-01-01 04:20:00,      -0.343447,      -0.632519
2016-01-01 04:40:00,      -0.344048,      -0.625491
2016-01-01 05:00:00,      -0.342526,      -0.618575
2016-01-01 05:20:00,      -0.338359,      -0.616343
2016-01-01 05:40:00,      -0.331828,      -0.618344
2016-01-01 06:00:00,      -0.327968,      -0.619211
2016-01-01 06:20:00,      -0.321023,      -0.621572
2016-01-01 06:40:00,      -0.315373,      -0.618716
2016-01-01 07:00:00,      -0.310903,      -0.606289
2016-01-01 07:20:00,      -0.305049,      -0.581156
2016-01-01 07:40:00,      -0.297688,      -0.548582
2016-01-01 08:00:00,      -0.288007,      -0.516647
2016-01-01 08:20:00,      -0.278616,      -0.495281
2016-01-01 08:40:00,      -0.273022,      -0.482077
2016-01-01 09:00:00,      -0.273949,      -0.471982
2016-01-01 09:20:00,      -0.271519,      -0.462861
2016-01-01 09:40:00,       -0.26218,      -0.455033
2016-01-01 10:00:00,      -0.239234,      -0.448302
2016-01-01 10:20:00,      -0.204284,      -0.444206
2016-01-01 10:40:00,      -0.162537,      -0.440554
2016-01-01 11:00:00,      -0.123824,      -0.436204
2016-01-01 11:20:00,     -0.0977113,      -0.429269
2016-01-01 11:40:00,     -0.0894256,      -0.420836
2016-01-01 12:00:00,     -0.0937376,      -0.415259
2016-01-01 12:20:00,      -0.102576,      -0.411362
2016-01-01 12:40:00,      -0.108153,      -0.404005
2016-01-01 13:00:00,      -0.108726,      -0.389883
2016-01-01 13:20:00,      -0.104072,      -0.365759
2016-01-01 13:40:00,     -0.0945502,      -0.330508
2016-01-01 14:00:00,     -0.0807712,      -0.282445
2016-01-01 14:20:00,     -0.0631493,      -0.220833
2016-01-01 14:40:00,     -0.0405271,      -0.145259
2016-01-01 15:00:00,     -0.0124862,     -0.0572112
2016-01-01 15:20:00,      0.0203061,      0.0377491
2016-01-01 15:40:00,      0.0566313,       0.130399
2016-01-01 16:00:00,       0.095208,       0.211926
2016-01-01 16:20:00,       0.133023,       0.273871
2016-01-01 16:40:00,       0.165797,       0.312213
2016-01-01 17:00:00,       0.189239,       0.328443
