date and time,x component of depth averaged velocity (m/s),y component of depth averaged velocity (m/s)
2016-01-01 00:00:00,              0,              0
2016-01-01 00:20:00,       0.152099,      -0.296298
2016-01-01 00:40:00,       0.116655,      -0.249981
2016-01-01 01:00:00,      -0.048898,     0.00400744
2016-01-01 01:20:00,      -0.064901,     -0.0288642
2016-01-01 01:40:00,     -0.0460052,     0.00255324
2016-01-01 02:00:00,     -0.0496595,     -0.0366922
2016-01-01 02:20:00,     -0.0226636,     -0.0560482
2016-01-01 02:40:00,     -0.0591717,     -0.0932902
2016-01-01 03:00:00,     -0.0746917,     -0.0566784
2016-01-01 03:20:00,     -0.0665561,     -0.0845571
2016-01-01 03:40:00,     -0.0769401,     -0.0427943
2016-01-01 04:00:00,     -0.0744029,     -0.0903469
2016-01-01 04:20:00,     -0.0504248,      -0.103844
2016-01-01 04:40:00,     -0.0503878,      -0.143281
2016-01-01 05:00:00,     -0.0547152,      -0.120125
2016-01-01 05:20:00,     -0.0565389,      -0.128671
2016-01-01 05:40:00,     -0.0537116,     -0.0984584
2016-01-01 06:00:00,     -0.0561368,      -0.111946
2016-01-01 06:20:00,     -0.0506306,      -0.108623
2016-01-01 06:40:00,     -0.0494439,      -0.125422
2016-01-01 07:00:00,     -0.0647451,      -0.125744
2016-01-01 07:20:00,     -0.0792068,      -0.138976
2016-01-01 07:40:00,     -0.0872446,      -0.155648
2016-01-01 08:00:00,     -0.0999644,       -0.16611
2016-01-01 08:20:00,      -0.119464,       -0.18207
2016-01-01 08:40:00,      -0.136784,      -0.202112
2016-01-01 09:00:00,      -0.157836,      -0.223317
2016-01-01 09:20:00,      -0.177156,      -0.255739
2016-01-01 09:40:00,      -0.200029,      -0.270178
2016-01-01 10:00:00,      -0.215838,      -0.286902
2016-01-01 10:20:00,      -0.226753,      -0.294831
2016-01-01 10:40:00,      -0.237234,      -0.306743
2016-01-01 11:00:00,      -0.247041,      -0.310599
2016-01-01 11:20:00,      -0.259574,      -0.316362
2016-01-01 11:40:00,      -0.270311,       -0.31778
2016-01-01 12:00:00,      -0.283306,      -0.319293
2016-01-01 12:20:00,       -0.29482,      -0.319175
2016-01-01 12:40:00,      -0.302247,      -0.316916
2016-01-01 13:00:00,      -0.305379,      -0.313518
2016-01-01 13:20:00,       -0.30629,      -0.308141
2016-01-01 13:40:00,      -0.306619,      -0.303113
2016-01-01 14:00:00,      -0.306187,      -0.297551
2016-01-01 14:20:00,      -0.303715,      -0.292924
2016-01-01 14:40:00,      -0.300222,      -0.289048
2016-01-01 15:00:00,         -0.297,      -0.284991
2016-01-01 15:20:00,      -0.292323,      -0.280795
2016-01-01 15:40:00,      -0.285334,      -0.275216
2016-01-01 16:00:00,      -0.276745,      -0.268728
2016-01-01 16:20:00,      -0.267375,      -0.261542
2016-01-01 16:40:00,      -0.256437,      -0.254246
2016-01-01 17:00:00,      -0.244194,      -0.247267
2016-01-01 17:20:00,      -0.232098,      -0.239631
2016-01-01 17:40:00,      -0.219771,      -0.230866
2016-01-01 18:00:00,      -0.206333,      -0.221394
2016-01-01 18:20:00,      -0.192917,      -0.211811
2016-01-01 18:40:00,      -0.180068,      -0.202526
2016-01-01 19:00:00,      -0.166902,      -0.193985
2016-01-01 19:20:00,      -0.154163,      -0.185379
2016-01-01 19:40:00,      -0.142304,      -0.176331
2016-01-01 20:00:00,      -0.130679,       -0.16704
2016-01-01 20:20:00,      -0.118997,      -0.157715
2016-01-01 20:40:00,       -0.10764,      -0.148324
2016-01-01 21:00:00,     -0.0965578,       -0.13896
2016-01-01 21:20:00,     -0.0858756,      -0.129366
2016-01-01 21:40:00,     -0.0758468,      -0.119776
2016-01-01 22:00:00,     -0.0666969,      -0.110355
2016-01-01 22:20:00,      -0.058348,      -0.101059
2016-01-01 22:40:00,     -0.0502794,      -0.092193
2016-01-01 23:00:00,     -0.0428408,     -0.0834662
2016-01-01 23:20:00,     -0.0362547,     -0.0750009
2016-01-01 23:40:00,     -0.0304741,     -0.0668715
2016-01-02 00:00:00,      -0.025283,     -0.0591174
2016-01-02 00:20:00,     -0.0204276,     -0.0520064
2016-01-02 00:40:00,      -0.016116,     -0.0453212
2016-01-02 01:00:00,     -0.0123099,     -0.0390558
2016-01-02 01:20:00,    -0.00881766,     -0.0331374
2016-01-02 01:40:00,    -0.00551868,     -0.0275648
2016-01-02 02:00:00,     -0.0024413,     -0.0224937
2016-01-02 02:20:00,    0.000302846,     -0.0178197
2016-01-02 02:40:00,     0.00288113,     -0.0135546
2016-01-02 03:00:00,     0.00533744,    -0.00961018
2016-01-02 03:20:00,     0.00756173,    -0.00588345
2016-01-02 03:40:00,     0.00964931,     -0.0024207
2016-01-02 04:00:00,      0.0118446,    0.000818616
2016-01-02 04:20:00,       0.014306,     0.00385451
2016-01-02 04:40:00,       0.016816,     0.00675847
2016-01-02 05:00:00,       0.019332,     0.00957482
2016-01-02 05:20:00,       0.022094,       0.012223
2016-01-02 05:40:00,      0.0250019,      0.0146723
2016-01-02 06:00:00,      0.0278745,      0.0170251
2016-01-02 06:20:00,      0.0305209,       0.019066
2016-01-02 06:40:00,      0.0326135,      0.0205683
2016-01-02 07:00:00,      0.0339676,      0.0214009
2016-01-02 07:20:00,      0.0346262,      0.0214162
2016-01-02 07:40:00,      0.0346192,      0.0207254
2016-01-02 08:00:00,      0.0337745,      0.0194756
2016-01-02 08:20:00,      0.0320732,      0.0177886
2016-01-02 08:40:00,      0.0298182,      0.0157248
2016-01-02 09:00:00,      0.0272275,      0.0132881
