date and time,water level (m)
2016-01-01 00:00:00,              5
2016-01-01 00:20:00,      -0.556272
2016-01-01 00:40:00,      -0.358853
2016-01-01 01:00:00,      -0.262092
2016-01-01 01:20:00,      -0.341045
2016-01-01 01:40:00,      0.0475972
2016-01-01 02:00:00,      -0.112047
2016-01-01 02:20:00,       0.210459
2016-01-01 02:40:00,       0.238773
2016-01-01 03:00:00,       0.215715
2016-01-01 03:20:00,       0.356354
2016-01-01 03:40:00,       0.378894
2016-01-01 04:00:00,       0.257283
2016-01-01 04:20:00,       0.207164
2016-01-01 04:40:00,       0.230856
2016-01-01 05:00:00,       0.310116
2016-01-01 05:20:00,       0.413242
2016-01-01 05:40:00,        0.49391
2016-01-01 06:00:00,       0.530526
2016-01-01 06:20:00,       0.508097
2016-01-01 06:40:00,       0.472693
2016-01-01 07:00:00,       0.448241
2016-01-01 07:20:00,       0.360483
2016-01-01 07:40:00,       0.288298
2016-01-01 08:00:00,       0.182296
2016-01-01 08:20:00,      0.0512124
2016-01-01 08:40:00,     -0.0614389
2016-01-01 09:00:00,       -0.12968
2016-01-01 09:20:00,      -0.184494
2016-01-01 09:40:00,      -0.230189
2016-01-01 10:00:00,      -0.254036
2016-01-01 10:20:00,      -0.286974
2016-01-01 10:40:00,      -0.328655
2016-01-01 11:00:00,      -0.365337
2016-01-01 11:20:00,      -0.378344
2016-01-01 11:40:00,      -0.392093
2016-01-01 12:00:00,      -0.378349
2016-01-01 12:20:00,      -0.374072
2016-01-01 12:40:00,      -0.344389
2016-01-01 13:00:00,      -0.319724
2016-01-01 13:20:00,      -0.299881
2016-01-01 13:40:00,      -0.268866
2016-01-01 14:00:00,      -0.233738
2016-01-01 14:20:00,      -0.174084
2016-01-01 14:40:00,      -0.112684
2016-01-01 15:00:00,     -0.0405204
2016-01-01 15:20:00,      0.0478097
2016-01-01 15:40:00,       0.127496
2016-01-01 16:00:00,       0.196858
2016-01-01 16:20:00,       0.264982
2016-01-01 16:40:00,       0.326168
2016-01-01 17:00:00,       0.383289
2016-01-01 17:20:00,       0.417204
2016-01-01 17:40:00,       0.436756
2016-01-01 18:00:00,       0.431172
2016-01-01 18:20:00,       0.399194
2016-01-01 18:40:00,       0.363802
2016-01-01 19:00:00,       0.332242
2016-01-01 19:20:00,       0.298028
2016-01-01 19:40:00,         0.2717
2016-01-01 20:00:00,       0.237194
2016-01-01 20:20:00,       0.194786
2016-01-01 20:40:00,         0.1436
2016-01-01 21:00:00,      0.0859455
2016-01-01 21:20:00,      0.0267233
2016-01-01 21:40:00,     -0.0375423
2016-01-01 22:00:00,      -0.102998
2016-01-01 22:20:00,      -0.164842
2016-01-01 22:40:00,       -0.22749
2016-01-01 23:00:00,      -0.280149
2016-01-01 23:20:00,      -0.322524
2016-01-01 23:40:00,      -0.352565
2016-01-02 00:00:00,      -0.368762
2016-01-02 00:20:00,      -0.373889
2016-01-02 00:40:00,      -0.366165
2016-01-02 01:00:00,      -0.348308
2016-01-02 01:20:00,      -0.322362
2016-01-02 01:40:00,      -0.286701
2016-01-02 02:00:00,      -0.244099
2016-01-02 02:20:00,      -0.194628
2016-01-02 02:40:00,      -0.140841
2016-01-02 03:00:00,     -0.0858703
2016-01-02 03:20:00,      -0.028847
2016-01-02 03:40:00,      0.0253305
2016-01-02 04:00:00,       0.077711
2016-01-02 04:20:00,       0.128214
2016-01-02 04:40:00,       0.176105
2016-01-02 05:00:00,       0.220842
2016-01-02 05:20:00,        0.26109
2016-01-02 05:40:00,       0.295333
2016-01-02 06:00:00,        0.32253
2016-01-02 06:20:00,       0.339813
2016-01-02 06:40:00,       0.348117
2016-01-02 07:00:00,       0.345742
2016-01-02 07:20:00,       0.331914
2016-01-02 07:40:00,       0.308684
2016-01-02 08:00:00,        0.27618
2016-01-02 08:20:00,        0.23608
2016-01-02 08:40:00,       0.191295
2016-01-02 09:00:00,       0.142299
2016-01-02 09:20:00,       0.091671
2016-01-02 09:40:00,       0.039626
2016-01-02 10:00:00,     -0.0125964
2016-01-02 10:20:00,       -0.06376
2016-01-02 10:40:00,      -0.113396
2016-01-02 11:00:00,      -0.159789
2016-01-02 11:20:00,      -0.201384
2016-01-02 11:40:00,      -0.238184
2016-01-02 12:00:00,      -0.268332
2016-01-02 12:20:00,      -0.291769
2016-01-02 12:40:00,      -0.307325
2016-01-02 13:00:00,      -0.314466
2016-01-02 13:20:00,      -0.313198
2016-01-02 13:40:00,      -0.302919
2016-01-02 14:00:00,      -0.284402
2016-01-02 14:20:00,      -0.258053
2016-01-02 14:40:00,      -0.224426
2016-01-02 15:00:00,      -0.184981
2016-01-02 15:20:00,      -0.140355
2016-01-02 15:40:00,     -0.0922832
2016-01-02 16:00:00,     -0.0422218
2016-01-02 16:20:00,     0.00895912
2016-01-02 16:40:00,      0.0586208
2016-01-02 17:00:00,       0.106266
