date and time,water level (m)
2016-01-02 23:20:00,     -0.0816781
2016-01-02 23:40:00,      -0.123381
2016-01-03 00:00:00,      -0.161592
2016-01-03 00:20:00,      -0.195598
2016-01-03 00:40:00,      -0.224445
2016-01-03 01:00:00,      -0.247453
2016-01-03 01:20:00,      -0.264148
2016-01-03 01:40:00,      -0.273832
2016-01-03 02:00:00,      -0.276441
2016-01-03 02:20:00,      -0.271782
2016-01-03 02:40:00,      -0.259806
2016-01-03 03:00:00,       -0.24105
2016-01-03 03:20:00,      -0.215779
2016-01-03 03:40:00,      -0.184768
2016-01-03 04:00:00,      -0.148889
2016-01-03 04:20:00,      -0.108968
2016-01-03 04:40:00,     -0.0664002
2016-01-03 05:00:00,     -0.0221885
2016-01-03 05:20:00,      0.0224104
2016-01-03 05:40:00,      0.0660812
2016-01-03 06:00:00,       0.107773
2016-01-03 06:20:00,       0.146213
2016-01-03 06:40:00,        0.18061
2016-01-03 07:00:00,       0.210231
2016-01-03 07:20:00,       0.234321
2016-01-03 07:40:00,         0.2525
2016-01-03 08:00:00,       0.264156
2016-01-03 08:20:00,       0.269126
2016-01-03 08:40:00,       0.267141
2016-01-03 09:00:00,       0.258211
2016-01-03 09:20:00,       0.242752
2016-01-03 09:40:00,       0.220721
2016-01-03 10:00:00,       0.192973
2016-01-03 10:20:00,       0.160166
2016-01-03 10:40:00,       0.123089
2016-01-03 11:00:00,      0.0828384
2016-01-03 11:20:00,      0.0405112
2016-01-03 11:40:00,    -0.00280608
2016-01-03 12:00:00,     -0.0463596
2016-01-03 12:20:00,     -0.0888034
2016-01-03 12:40:00,      -0.128901
2016-01-03 13:00:00,      -0.165426
2016-01-03 13:20:00,      -0.196931
2016-01-03 13:40:00,      -0.223214
2016-01-03 14:00:00,      -0.243849
2016-01-03 14:20:00,      -0.258179
2016-01-03 14:40:00,      -0.266059
2016-01-03 15:00:00,      -0.266911
2016-01-03 15:20:00,      -0.260764
2016-01-03 15:40:00,      -0.247754
2016-01-03 16:00:00,      -0.228074
2016-01-03 16:20:00,      -0.202331
2016-01-03 16:40:00,      -0.171004
2016-01-03 17:00:00,      -0.134933
2016-01-03 17:20:00,     -0.0949988
2016-01-03 17:40:00,       -0.05212
2016-01-03 18:00:00,    -0.00743329
2016-01-03 18:20:00,      0.0378552
2016-01-03 18:40:00,      0.0826876
2016-01-03 19:00:00,       0.125655
2016-01-03 19:20:00,       0.165716
2016-01-03 19:40:00,        0.20172
2016-01-03 20:00:00,       0.232768
2016-01-03 20:20:00,        0.25792
2016-01-03 20:40:00,       0.276419
2016-01-03 21:00:00,       0.288045
2016-01-03 21:20:00,        0.29211
2016-01-03 21:40:00,         0.2887
2016-01-03 22:00:00,       0.277943
2016-01-03 22:20:00,       0.259943
2016-01-03 22:40:00,       0.235201
2016-01-03 23:00:00,         0.2043
2016-01-03 23:20:00,       0.167984
2016-01-03 23:40:00,       0.127114
2016-01-04 00:00:00,       0.082666
2016-01-04 00:20:00,      0.0359346
2016-01-04 00:40:00,     -0.0119236
2016-01-04 01:00:00,     -0.0595897
2016-01-04 01:20:00,      -0.105851
2016-01-04 01:40:00,       -0.14937
2016-01-04 02:00:00,      -0.188946
2016-01-04 02:20:00,      -0.223721
2016-01-04 02:40:00,      -0.252453
2016-01-04 03:00:00,      -0.274485
2016-01-04 03:20:00,      -0.289097
2016-01-04 03:40:00,      -0.295907
2016-01-04 04:00:00,      -0.294674
2016-01-04 04:20:00,      -0.285369
2016-01-04 04:40:00,      -0.268163
2016-01-04 05:00:00,      -0.243473
2016-01-04 05:20:00,      -0.211917
2016-01-04 05:40:00,      -0.174242
2016-01-04 06:00:00,      -0.131452
2016-01-04 06:20:00,     -0.0846556
2016-01-04 06:40:00,     -0.0350964
2016-01-04 07:00:00,      0.0159492
2016-01-04 07:20:00,      0.0671261
2016-01-04 07:40:00,       0.117074
2016-01-04 08:00:00,       0.164411
2016-01-04 08:20:00,        0.20795
2016-01-04 08:40:00,        0.24636
2016-01-04 09:00:00,       0.278675
2016-01-04 09:20:00,       0.303694
2016-01-04 09:40:00,       0.320865
2016-01-04 10:00:00,       0.329569
2016-01-04 10:20:00,       0.329244
2016-01-04 10:40:00,       0.320273
2016-01-04 11:00:00,       0.302495
2016-01-04 11:20:00,       0.276609
2016-01-04 11:40:00,       0.242939
2016-01-04 12:00:00,       0.202418
2016-01-04 12:20:00,       0.156292
2016-01-04 12:40:00,       0.105602
2016-01-04 13:00:00,        0.05166
2016-01-04 13:20:00,    -0.00396914
2016-01-04 13:40:00,     -0.0597733
2016-01-04 14:00:00,      -0.114469
2016-01-04 14:20:00,      -0.166366
2016-01-04 14:40:00,      -0.213927
2016-01-04 15:00:00,      -0.255975
