date and time,x component of depth averaged velocity (m/s),y component of depth averaged velocity (m/s)
2016-01-01 00:00:00,             -0,              0
2016-01-01 00:20:00,     -0.0717444,      0.0757536
2016-01-01 00:40:00,     -0.0619535,     -0.0287316
2016-01-01 01:00:00,      -0.121555,     -0.0356588
2016-01-01 01:20:00,      -0.126798,      -0.105701
2016-01-01 01:40:00,      -0.160694,       -0.17991
2016-01-01 02:00:00,      -0.187493,      -0.234454
2016-01-01 02:20:00,      -0.211672,      -0.316392
2016-01-01 02:40:00,      -0.216676,      -0.349842
2016-01-01 03:00:00,      -0.238501,      -0.393869
2016-01-01 03:20:00,      -0.236421,      -0.409465
2016-01-01 03:40:00,      -0.239138,      -0.414889
2016-01-01 04:00:00,      -0.223124,       -0.41857
2016-01-01 04:20:00,      -0.214369,      -0.407428
2016-01-01 04:40:00,      -0.209467,      -0.393906
2016-01-01 05:00:00,      -0.221737,      -0.372076
2016-01-01 05:20:00,      -0.227544,      -0.367743
2016-01-01 05:40:00,      -0.217732,        -0.3797
2016-01-01 06:00:00,      -0.222445,      -0.395308
2016-01-01 06:20:00,      -0.220397,      -0.406243
2016-01-01 06:40:00,        -0.2169,      -0.415416
2016-01-01 07:00:00,      -0.215519,      -0.413263
2016-01-01 07:20:00,      -0.210577,      -0.401908
2016-01-01 07:40:00,      -0.202919,      -0.389962
2016-01-01 08:00:00,      -0.203651,      -0.364248
2016-01-01 08:20:00,      -0.206187,      -0.335691
2016-01-01 08:40:00,      -0.203891,      -0.299795
2016-01-01 09:00:00,      -0.207217,      -0.259863
2016-01-01 09:20:00,      -0.199406,      -0.221683
2016-01-01 09:40:00,      -0.193777,      -0.187071
2016-01-01 10:00:00,      -0.185168,      -0.156689
2016-01-01 10:20:00,      -0.177941,      -0.132329
2016-01-01 10:40:00,      -0.169909,      -0.108923
2016-01-01 11:00:00,      -0.162661,     -0.0883154
2016-01-01 11:20:00,      -0.151271,     -0.0688271
2016-01-01 11:40:00,      -0.140071,     -0.0463366
2016-01-01 12:00:00,      -0.126982,     -0.0244204
2016-01-01 12:20:00,      -0.110357,     0.00204212
2016-01-01 12:40:00,     -0.0924652,      0.0338305
2016-01-01 13:00:00,     -0.0704483,      0.0662371
2016-01-01 13:20:00,     -0.0496773,       0.100726
2016-01-01 13:40:00,     -0.0281274,        0.13105
2016-01-01 14:00:00,     -0.0049622,       0.160168
2016-01-01 14:20:00,      0.0145458,       0.184196
2016-01-01 14:40:00,      0.0326289,       0.205243
2016-01-01 15:00:00,      0.0492049,       0.221648
2016-01-01 15:20:00,      0.0616137,       0.233408
2016-01-01 15:40:00,      0.0702563,       0.237942
2016-01-01 16:00:00,       0.078017,       0.239015
2016-01-01 16:20:00,      0.0820137,       0.235633
2016-01-01 16:40:00,      0.0872877,       0.231107
2016-01-01 17:00:00,      0.0894909,       0.224037
2016-01-01 17:20:00,      0.0902147,       0.218878
2016-01-01 17:40:00,      0.0895187,        0.21306
2016-01-01 18:00:00,      0.0872907,       0.206145
2016-01-01 18:20:00,      0.0846158,       0.200302
2016-01-01 18:40:00,      0.0822227,       0.193441
2016-01-01 19:00:00,      0.0802798,       0.185204
2016-01-01 19:20:00,      0.0765348,        0.17569
2016-01-01 19:40:00,      0.0737985,       0.163219
2016-01-01 20:00:00,      0.0691041,       0.149938
2016-01-01 20:20:00,      0.0655274,       0.137401
2016-01-01 20:40:00,       0.060483,       0.125785
2016-01-01 21:00:00,      0.0565797,       0.117466
2016-01-01 21:20:00,      0.0504131,       0.110993
2016-01-01 21:40:00,      0.0449984,       0.106797
2016-01-01 22:00:00,      0.0377895,       0.104309
2016-01-01 22:20:00,       0.030226,       0.102177
2016-01-01 22:40:00,      0.0224533,       0.100513
2016-01-01 23:00:00,      0.0153305,      0.0977059
2016-01-01 23:20:00,     0.00757458,      0.0939913
2016-01-01 23:40:00,    0.000876182,      0.0886408
2016-01-02 00:00:00,    -0.00668399,       0.081544
2016-01-02 00:20:00,     -0.0133038,      0.0725865
2016-01-02 00:40:00,     -0.0202186,      0.0614312
2016-01-02 01:00:00,     -0.0264467,      0.0493178
2016-01-02 01:20:00,     -0.0325413,      0.0357648
2016-01-02 01:40:00,     -0.0375847,      0.0217928
2016-01-02 02:00:00,     -0.0427102,     0.00811719
2016-01-02 02:20:00,     -0.0471683,    -0.00516011
2016-01-02 02:40:00,     -0.0521535,     -0.0169806
2016-01-02 03:00:00,     -0.0573686,     -0.0271661
2016-01-02 03:20:00,     -0.0616436,     -0.0359546
2016-01-02 03:40:00,     -0.0660221,     -0.0424595
2016-01-02 04:00:00,     -0.0691409,     -0.0476632
2016-01-02 04:20:00,     -0.0705684,     -0.0522883
2016-01-02 04:40:00,       -0.07189,      -0.056714
2016-01-02 05:00:00,     -0.0719209,     -0.0630211
2016-01-02 05:20:00,     -0.0718073,     -0.0710563
2016-01-02 05:40:00,       -0.07203,     -0.0804257
2016-01-02 06:00:00,      -0.070484,     -0.0914411
