date and time,x component of depth averaged velocity (m/s),y component of depth averaged velocity (m/s)
2016-01-01 00:00:00,              0,              0
2016-01-01 00:20:00,     -0.0368211,      -0.019105
2016-01-01 00:40:00,     -0.0347602,     -0.0152469
2016-01-01 01:00:00,     -0.0612266,      0.0498602
2016-01-01 01:20:00,      -0.069021,      0.0553671
2016-01-01 01:40:00,     -0.0515334,      0.0765156
2016-01-01 02:00:00,     -0.0529002,      0.0708155
2016-01-01 02:20:00,     -0.0217301,      0.0530132
2016-01-01 02:40:00,    -0.00807693,      0.0174578
2016-01-01 03:00:00,    0.000356514,      0.0207782
2016-01-01 03:20:00,    -0.00614857,      0.0283896
2016-01-01 03:40:00,    -0.00202441,      0.0427865
2016-01-01 04:00:00,    -0.00307404,      0.0396518
2016-01-01 04:20:00,     0.00252632,      0.0326492
2016-01-01 04:40:00,     0.00887542,      0.0218007
2016-01-01 05:00:00,      0.0126503,      0.0214274
2016-01-01 05:20:00,      0.0141042,       0.023092
2016-01-01 05:40:00,      0.0138687,      0.0310686
2016-01-01 06:00:00,      0.0145792,      0.0278635
2016-01-01 06:20:00,      0.0155276,      0.0249725
2016-01-01 06:40:00,      0.0210073,      0.0175891
2016-01-01 07:00:00,      0.0234422,      0.0199311
2016-01-01 07:20:00,      0.0239978,      0.0195526
2016-01-01 07:40:00,      0.0282671,      0.0221451
2016-01-01 08:00:00,      0.0313191,      0.0162818
2016-01-01 08:20:00,      0.0343146,      0.0159574
2016-01-01 08:40:00,      0.0342396,      0.0158339
2016-01-01 09:00:00,      0.0379284,      0.0208209
2016-01-01 09:20:00,      0.0368196,      0.0257803
2016-01-01 09:40:00,      0.0384668,      0.0312224
2016-01-01 10:00:00,      0.0401663,       0.033157
2016-01-01 10:20:00,      0.0426279,      0.0351159
2016-01-01 10:40:00,      0.0443939,      0.0388179
2016-01-01 11:00:00,      0.0446406,       0.044145
2016-01-01 11:20:00,      0.0450552,      0.0504392
2016-01-01 11:40:00,      0.0451595,      0.0566489
2016-01-01 12:00:00,      0.0452825,      0.0614695
2016-01-01 12:20:00,       0.046476,      0.0651184
2016-01-01 12:40:00,      0.0466703,      0.0684657
2016-01-01 13:00:00,      0.0464862,      0.0724798
2016-01-01 13:20:00,      0.0461627,      0.0771189
2016-01-01 13:40:00,      0.0448909,      0.0805616
2016-01-01 14:00:00,      0.0438135,      0.0824662
2016-01-01 14:20:00,       0.042419,      0.0837391
2016-01-01 14:40:00,      0.0417477,       0.084004
2016-01-01 15:00:00,      0.0406742,      0.0840649
2016-01-01 15:20:00,      0.0413694,      0.0848398
2016-01-01 15:40:00,      0.0395733,      0.0839678
2016-01-01 16:00:00,      0.0398534,      0.0801215
2016-01-01 16:20:00,       0.039714,      0.0781035
2016-01-01 16:40:00,      0.0394257,      0.0749941
2016-01-01 17:00:00,      0.0386972,      0.0727524
2016-01-01 17:20:00,      0.0397551,       0.069144
2016-01-01 17:40:00,      0.0385307,      0.0670472
2016-01-01 18:00:00,      0.0394693,      0.0623399
2016-01-01 18:20:00,      0.0393268,      0.0587902
2016-01-01 18:40:00,      0.0394581,      0.0552542
2016-01-01 19:00:00,      0.0392739,      0.0526887
2016-01-01 19:20:00,      0.0391259,      0.0495317
2016-01-01 19:40:00,      0.0390708,      0.0470479
2016-01-01 20:00:00,      0.0382048,      0.0440107
2016-01-01 20:20:00,      0.0379561,      0.0411984
2016-01-01 20:40:00,      0.0372813,      0.0394784
2016-01-01 21:00:00,      0.0360474,       0.038246
2016-01-01 21:20:00,       0.035047,      0.0373949
2016-01-01 21:40:00,      0.0336226,      0.0365298
2016-01-01 22:00:00,      0.0320621,      0.0360784
2016-01-01 22:20:00,      0.0300524,      0.0358307
2016-01-01 22:40:00,      0.0282271,      0.0362338
2016-01-01 23:00:00,      0.0258868,      0.0369245
2016-01-01 23:20:00,      0.0237334,      0.0378114
2016-01-01 23:40:00,      0.0212336,      0.0388161
2016-01-02 00:00:00,      0.0189487,      0.0396572
2016-01-02 00:20:00,      0.0165094,      0.0403349
2016-01-02 00:40:00,      0.0141096,       0.041068
2016-01-02 01:00:00,      0.0116068,      0.0417408
2016-01-02 01:20:00,     0.00908891,      0.0423123
2016-01-02 01:40:00,     0.00658881,      0.0423905
2016-01-02 02:00:00,     0.00446582,       0.043228
