date and time,x component of depth averaged velocity (m/s),y component of depth averaged velocity (m/s)
2016-01-01 00:00:00,             -0,              0
2016-01-01 00:20:00,      -0.144188,       0.381712
2016-01-01 00:40:00,     -0.0211132,       0.146628
2016-01-01 01:00:00,     -0.0465072,       0.114669
2016-01-01 01:20:00,     -0.0343936,      0.0773636
2016-01-01 01:40:00,     -0.0898431,     -0.0428609
2016-01-01 02:00:00,      -0.128578,      -0.068239
2016-01-01 02:20:00,      -0.190312,      -0.180371
2016-01-01 02:40:00,      -0.182626,       -0.29036
2016-01-01 03:00:00,      -0.223109,      -0.298893
2016-01-01 03:20:00,      -0.165933,      -0.344082
2016-01-01 03:40:00,       -0.09443,       -0.39762
2016-01-01 04:00:00,      -0.174396,      -0.344345
2016-01-01 04:20:00,      -0.226424,      -0.300249
2016-01-01 04:40:00,      -0.176127,       -0.25341
2016-01-01 05:00:00,      -0.252141,      -0.239848
2016-01-01 05:20:00,      -0.233625,       -0.21884
2016-01-01 05:40:00,      -0.167181,      -0.192653
2016-01-01 06:00:00,      -0.195809,      -0.234795
2016-01-01 06:20:00,      -0.216701,      -0.241316
2016-01-01 06:40:00,      -0.247597,      -0.300701
2016-01-01 07:00:00,       -0.25888,      -0.284328
2016-01-01 07:20:00,       -0.23211,      -0.271107
2016-01-01 07:40:00,      -0.209766,      -0.288514
2016-01-01 08:00:00,      -0.197143,       -0.25157
2016-01-01 08:20:00,      -0.167737,      -0.232623
2016-01-01 08:40:00,      -0.162586,      -0.225057
2016-01-01 09:00:00,      -0.194066,      -0.192448
2016-01-01 09:20:00,      -0.203612,      -0.174714
2016-01-01 09:40:00,      -0.203327,      -0.145856
2016-01-01 10:00:00,      -0.202322,      -0.127698
2016-01-01 10:20:00,      -0.202261,      -0.132277
2016-01-01 10:40:00,      -0.197824,       -0.12043
2016-01-01 11:00:00,       -0.19144,      -0.117587
2016-01-01 11:20:00,      -0.182745,      -0.134229
2016-01-01 11:40:00,       -0.17551,      -0.122859
2016-01-01 12:00:00,      -0.161228,       -0.11239
2016-01-01 12:20:00,      -0.150791,      -0.110926
2016-01-01 12:40:00,      -0.138464,     -0.0876251
2016-01-01 13:00:00,      -0.113195,     -0.0549015
2016-01-01 13:20:00,      -0.119012,     -0.0323858
2016-01-01 13:40:00,      -0.114819,      0.0048413
2016-01-01 14:00:00,      -0.100381,      0.0427413
2016-01-01 14:20:00,     -0.0856127,      0.0797261
2016-01-01 14:40:00,     -0.0674034,         0.1058
2016-01-01 15:00:00,     -0.0487833,       0.133761
2016-01-01 15:20:00,     -0.0368709,       0.156638
2016-01-01 15:40:00,     -0.0266455,       0.163421
2016-01-01 16:00:00,     -0.0239965,       0.158543
2016-01-01 16:20:00,     -0.0226397,       0.159506
2016-01-01 16:40:00,     -0.0130112,       0.150622
2016-01-01 17:00:00,    -0.00552463,       0.134113
2016-01-01 17:20:00,    -0.00295703,       0.129941
2016-01-01 17:40:00,    -0.00011144,       0.126841
2016-01-01 18:00:00,     0.00087682,        0.12812
2016-01-01 18:20:00,    -0.00673374,       0.131524
2016-01-01 18:40:00,     -0.0100345,       0.133889
2016-01-01 19:00:00,    -0.00470852,       0.135288
2016-01-01 19:20:00,     -0.0058602,       0.135503
2016-01-01 19:40:00,    -0.00116675,       0.120336
