date and time,x component of depth averaged velocity (m/s),y component of depth averaged velocity (m/s)
2016-01-01 00:00:00,             -0,              0
2016-01-01 00:20:00,     -0.0772841,      0.0681677
2016-01-01 00:40:00,     -0.0736409,     -0.0447345
2016-01-01 01:00:00,      -0.137113,     -0.0594697
2016-01-01 01:20:00,      -0.146504,      -0.135918
2016-01-01 01:40:00,      -0.184328,      -0.214656
2016-01-01 02:00:00,      -0.212411,      -0.273751
2016-01-01 02:20:00,      -0.238513,      -0.356612
2016-01-01 02:40:00,      -0.246811,      -0.391561
2016-01-01 03:00:00,      -0.271778,      -0.434844
2016-01-01 03:20:00,      -0.263458,      -0.453255
2016-01-01 03:40:00,      -0.242761,       -0.47103
2016-01-01 04:00:00,      -0.219158,      -0.479641
2016-01-01 04:20:00,      -0.235535,      -0.451017
2016-01-01 04:40:00,      -0.243618,      -0.431539
2016-01-01 05:00:00,      -0.251589,      -0.417171
2016-01-01 05:20:00,      -0.253784,      -0.415493
2016-01-01 05:40:00,      -0.241076,       -0.42491
2016-01-01 06:00:00,      -0.241623,      -0.435874
2016-01-01 06:20:00,       -0.23776,      -0.443898
2016-01-01 06:40:00,      -0.234466,       -0.45181
2016-01-01 07:00:00,      -0.233261,      -0.450246
2016-01-01 07:20:00,      -0.229238,      -0.439911
2016-01-01 07:40:00,      -0.222495,      -0.426373
2016-01-01 08:00:00,      -0.223202,      -0.396064
2016-01-01 08:20:00,      -0.224868,      -0.359137
2016-01-01 08:40:00,      -0.220447,      -0.313797
2016-01-01 09:00:00,      -0.219824,      -0.266863
2016-01-01 09:20:00,      -0.208613,      -0.225131
2016-01-01 09:40:00,      -0.199682,      -0.190718
2016-01-01 10:00:00,      -0.188914,      -0.162942
2016-01-01 10:20:00,      -0.180854,      -0.141609
2016-01-01 10:40:00,      -0.173358,      -0.120472
2016-01-01 11:00:00,      -0.167305,     -0.0995521
2016-01-01 11:20:00,      -0.157024,     -0.0762364
2016-01-01 11:40:00,      -0.144824,     -0.0472842
2016-01-01 12:00:00,      -0.127012,     -0.0169501
2016-01-01 12:20:00,      -0.101399,      0.0171206
2016-01-01 12:40:00,      -0.070637,      0.0534443
2016-01-01 13:00:00,     -0.0353663,      0.0862647
2016-01-01 13:20:00,    -0.00253308,        0.11688
2016-01-01 13:40:00,      0.0275667,       0.142094
2016-01-01 14:00:00,      0.0546572,       0.166338
2016-01-01 14:20:00,      0.0751314,       0.188327
2016-01-01 14:40:00,      0.0917592,       0.210824
2016-01-01 15:00:00,       0.105612,       0.231967
2016-01-01 15:20:00,       0.115035,        0.25093
2016-01-01 15:40:00,       0.120762,        0.26386
2016-01-01 16:00:00,       0.125275,       0.272664
2016-01-01 16:20:00,       0.126608,       0.276094
2016-01-01 16:40:00,       0.128428,       0.276159
2016-01-01 17:00:00,        0.12769,       0.272031
2016-01-01 17:20:00,       0.125565,        0.26716
